purchase_price,state,purchase_year,personal_income,filing_status,market_rent_annual,building_type,usage,holding_years,rental_ratio,renovation_year,renovation_amount,asset_split,land_ratio,equity_amount,annual_rate,sondertilgung_rate,refi_year,refi_rate,_group_tag,irr,npv,total_tax_saved,total_interest_paid,total_net_cashflow,sale_price,remaining_loan_balance,speculation_tax,tax_free_exit,net_exit_proceeds,gross_exit_proceeds,selling_costs,FLAG_15_PERCENT_HIT,FLAG_15_PERCENT_HIT_year,FLAG_RENT_TOO_LOW,FLAG_RENT_TOO_LOW_year,FLAG_TAX_WASTE,FLAG_TAX_WASTE_year,FLAG_NEGATIVE_CASHFLOW,FLAG_NEGATIVE_CASHFLOW_year,any_flag
400000,Bayern,2024,80000,single,18000,standard,full_rental,10,1.0,2,64000.0,10000,0.25,100000.0,0.03,0.0,,,collision_15pct_triggered,5.65%,52467.17,-5395.5,57598.14,-222273.6,480000.0,0.04,0.0,True,458063.96,458063.96,21936.0,True,2,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,10,1.0,2,64000.0,10000,0.25,100000.0,0.04,0.0,,,collision_15pct_triggered,5.17%,42923.27,3337.45,77856.95,-233799.5,480000.0,0.0,0.0,True,458064.0,458064.0,21936.0,True,2,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,12,1.0,2,64000.0,10000,0.25,100000.0,0.03,0.0,,,collision_15pct_triggered,5.48%,56634.63,-7526.44,68709.6,-200516.04,480000.0,0.0,0.0,True,458064.0,458064.0,21936.0,True,2,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,12,1.0,2,64000.0,10000,0.25,100000.0,0.04,0.0,,,collision_15pct_triggered,4.99%,45481.8,2975.67,93139.13,-214443.45,480000.0,0.01,0.0,True,458063.99,458063.99,21936.0,True,2,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,15,1.0,2,64000.0,10000,0.25,100000.0,0.03,0.0,,,collision_15pct_triggered,5.33%,62685.53,-10567.32,85742.4,-168089.67,480000.0,0.05,0.0,True,458063.95,458063.95,21936.0,True,2,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,15,1.0,2,64000.0,10000,0.25,100000.0,0.04,0.0,,,collision_15pct_triggered,4.83%,49200.41,2705.89,116702.67,-185776.76,480000.0,0.02,0.0,True,458063.98,458063.98,21936.0,True,2,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,10,1.0,4,64000.0,10000,0.25,100000.0,0.03,0.0,,,collision_15pct_avoided,6.44%,66924.95,10928.67,57598.14,-205949.43,480000.0,0.04,0.0,True,458063.96,458063.96,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,10,1.0,4,64000.0,10000,0.25,100000.0,0.04,0.0,,,collision_15pct_avoided,5.91%,56725.09,18923.34,77856.95,-218213.61,480000.0,0.0,0.0,True,458064.0,458064.0,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,12,1.0,4,64000.0,10000,0.25,100000.0,0.03,0.0,,,collision_15pct_avoided,6.17%,70966.47,8655.99,68709.6,-184333.61,480000.0,0.0,0.0,True,458064.0,458064.0,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,12,1.0,4,64000.0,10000,0.25,100000.0,0.04,0.0,,,collision_15pct_avoided,5.63%,59022.91,18268.12,93139.13,-199151.0,480000.0,0.01,0.0,True,458063.99,458063.99,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,15,1.0,4,64000.0,10000,0.25,100000.0,0.03,0.0,,,collision_15pct_avoided,5.94%,76891.17,5473.07,85742.4,-152049.28,480000.0,0.05,0.0,True,458063.95,458063.95,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,15,1.0,4,64000.0,10000,0.25,100000.0,0.04,0.0,,,collision_15pct_avoided,5.38%,62482.78,17707.13,116702.67,-170775.52,480000.0,0.02,0.0,True,458063.98,458063.98,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,9,1.0,5,20000,10000,0.25,100000.0,0.035,0.01,,,exit_timing_exit_yr9,2.62%,-6574.19,4365.42,56603.33,-229017.91,480000.0,0.0,74680.59,False,383383.41,458064.0,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,11,1.0,5,20000,10000,0.25,100000.0,0.035,0.01,,,exit_timing_exit_yr11,5.34%,53438.41,1837.87,67170.54,-207112.67,480000.0,0.0,0.0,True,458064.0,458064.0,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,10,1.0,5,20000,10000,0.25,40000.0,0.04,0.0,,,stress_high_ltv,6.09%,50560.17,15686.39,91831.54,-295425.11,480000.0,0.04,0.0,True,458063.96,458063.96,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,10,1.0,5,20000,10000,0.25,200000.0,0.04,0.0,,,stress_low_ltv,4.78%,44981.59,105.25,54566.03,-113740.75,480000.0,0.03,0.0,True,458063.97,458063.97,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,5,1.0,2,0,0,0.2,40000.0,0.025,0.0,,,grid,2.37%,-5068.82,-2315.56,30057.66,-339153.21,480000.0,0.01,57709.86,False,400354.13,458063.99,21936.0,False,,False,,False,,True,1,True
400000,Bayern,2024,80000,single,18000,standard,full_rental,5,1.0,2,0,0,0.2,40000.0,0.025,0.01,,,grid,2.33%,-5645.38,-2762.76,29047.02,-338589.78,480000.0,0.0,57709.86,False,400354.14,458064.0,21936.0,False,,False,,False,,True,1,True
